transaction_id,transaction_date,branch,product,quantity,unit_price,customer_name,payment_method
EAS-20074,2026-03-25, East Legon,keyboard,8.0,₵350.00,Esi Arthur,cash
EAS-20001,01-Mar-2026,east legon,keyboard,2.0, 350.00 ,Kofi Addo,card
EAS-20059,24-Mar-2026, East Legon,monitor,5.0, 1800.00 ,Ama Mensah,card
EAS-20023,2026-03-30,East Legon,Wireless Mouse,8.0, 150.00 ,Akosua Owusu,Card
EAS-20013,13/01/2026,EAST LEGON,MONITOR,7.0, 1800.00 ,Ama Mensah,cash
EAS-20071,28/02/2026,EAST LEGON, Keyboard ,3.0,₵350.00,Kwame Asante,Momo
EAS-20011,26-Feb-2026,East Legon,LAPTOP,8.0,"GHS 6,500.00",Esi Arthur,Card
EAS-20019,26/02/2026, East Legon,Laptops,5.0,"GHS 6,500.00",Ama Mensah,cash
EAS-20005,20-Mar-2026,EAST LEGON,Laptop,8.0, 6500.00 ,Kwame Asante,cash
EAS-20066,06-Mar-2026,East Legon,printer,7.0, 2500.00 ,Kwame Asante,CASH
EAS-20041,24/02/2026,east legon, Mouse ,-3.0,150.0,,Cash
EAS-20048,05-Feb-2026,East Legon,Keyboard,7.0,₵350.00,Esi Arthur,Cash
EAS-20036,2026-03-24,EAST LEGON, Keyboard ,1.0,350.0,Kwame Asante,CASH
EAS-20001,01-Mar-2026,east legon,keyboard,2.0, 350.00 ,Kofi Addo,card
EAS-20056,06-Mar-2026,East Legon,Mouse,7.0,GHS 150.00,Esi Arthur,Momo
EAS-20055,17/01/2026,East Legon,LED Monitor,2.0,"₵1,800.00",Kofi Addo,CASH
EAS-20034,22-Feb-2026,east legon,LED Monitor,1.0, 1800.00 ,Kwame Asante,Bank Transfer
EAS-20077,10/03/2026,East Legon,printer,4.0,"GHS 2,500.00",Ama Mensah,card
EAS-20043,18-Jan-2026,EAST LEGON,printer,6.0, 2500.00 ,,Bank Transfer
EAS-20050,10/01/2026,EAST LEGON,Key board,8.0,GHS 350.00,Ama Mensah,Bank Transfer
EAS-20012,28-Feb-2026, East Legon,Monitor,5.0,"GHS 1,800.00",Kwame Asante,Bank Transfer
